Country,Series,Year,NY.GDP.PCAP.CD
High income,GDP per capita (current US$),2019,45453.0478919778
High income,GDP per capita (current US$),2020,43950.085251024
IBRD only,GDP per capita (current US$),2016,5526.65388488586
IBRD only,GDP per capita (current US$),2017,6042.98149259716
IBRD only,GDP per capita (current US$),2018,6366.56267284833
IBRD only,GDP per capita (current US$),2019,6461.33454460031
IBRD only,GDP per capita (current US$),2020,6149.36154443197
IDA & IBRD total,GDP per capita (current US$),2016,4461.0319548111
IDA & IBRD total,GDP per capita (current US$),2017,4840.29024717387
IDA & IBRD total,GDP per capita (current US$),2018,5080.69809605947
IDA & IBRD total,GDP per capita (current US$),2019,5144.10692741265
IDA & IBRD total,GDP per capita (current US$),2020,4890.78639328661
IDA blend,GDP per capita (current US$),2016,1795.21245064459
IDA blend,GDP per capita (current US$),2017,1723.16488620871
IDA blend,GDP per capita (current US$),2018,1759.49636468312
IDA blend,GDP per capita (current US$),2019,1777.85106883714
IDA blend,GDP per capita (current US$),2020,1674.91787065885
IDA only,GDP per capita (current US$),2016,978.403702608671
IDA only,GDP per capita (current US$),2017,1036.65209832641
IDA only,GDP per capita (current US$),2018,1087.03050145152
IDA only,GDP per capita (current US$),2019,1117.47055828158
IDA only,GDP per capita (current US$),2020,1125.18336446559
IDA total,GDP per capita (current US$),2016,1252.86198157347
IDA total,GDP per capita (current US$),2017,1267.40118323389
IDA total,GDP per capita (current US$),2018,1313.08241055727
IDA total,GDP per capita (current US$),2019,1339.44506451677
IDA total,GDP per capita (current US$),2020,1309.5155037035
Late-demographic dividend,GDP per capita (current US$),2016,8152.51955339626
Late-demographic dividend,GDP per capita (current US$),2017,8988.12518892107
Late-demographic dividend,GDP per capita (current US$),2018,9800.4624847542
Late-demographic dividend,GDP per capita (current US$),2019,9940.08562242627
Late-demographic dividend,GDP per capita (current US$),2020,9679.39684504695
Latin America & Caribbean,GDP per capita (current US$),2016,8352.05622272621
Latin America & Caribbean,GDP per capita (current US$),2017,9188.21002991855
Latin America & Caribbean,GDP per capita (current US$),2018,8905.58133741896
Latin America & Caribbean,GDP per capita (current US$),2019,8705.11709848038
Latin America & Caribbean,GDP per capita (current US$),2020,7244.65941923722
Latin America & Caribbean (excluding high income),GDP per capita (current US$),2016,7930.90191487956
Latin America & Caribbean (excluding high income),GDP per capita (current US$),2017,8744.99517157635
Latin America & Caribbean (excluding high income),GDP per capita (current US$),2018,8408.17469813318
Latin America & Caribbean (excluding high income),GDP per capita (current US$),2019,8226.23632426779
Latin America & Caribbean (excluding high income),GDP per capita (current US$),2020,6779.19971726486
Latin America & the Caribbean (IDA & IBRD countries),GDP per capita (current US$),2016,8186.78813467794
Latin America & the Caribbean (IDA & IBRD countries),GDP per capita (current US$),2017,9037.22154892312
Latin America & the Caribbean (IDA & IBRD countries),GDP per capita (current US$),2018,8743.52788324261
Latin America & the Caribbean (IDA & IBRD countries),GDP per capita (current US$),2019,8525.42186054554
Latin America & the Caribbean (IDA & IBRD countries),GDP per capita (current US$),2020,7035.75307488449
Least developed countries: UN classification,GDP per capita (current US$),2016,970.368712607472
Least developed countries: UN classification,GDP per capita (current US$),2017,1038.48206262267
Least developed countries: UN classification,GDP per capita (current US$),2018,1051.89147142303
Least developed countries: UN classification,GDP per capita (current US$),2019,1070.09871782393
Least developed countries: UN classification,GDP per capita (current US$),2020,1051.8831057817
Low & middle income,GDP per capita (current US$),2016,4339.1334120433
Low & middle income,GDP per capita (current US$),2017,4705.42138250051
Low & middle income,GDP per capita (current US$),2018,4932.95973217384
Low & middle income,GDP per capita (current US$),2019,4999.74702961126
Low & middle income,GDP per capita (current US$),2020,4754.52047780956
Low income,GDP per capita (current US$),2016,643.786827242033
Low income,GDP per capita (current US$),2017,663.436016601648
Low income,GDP per capita (current US$),2018,672.482767078443
Low income,GDP per capita (current US$),2019,689.704423259533
Low income,GDP per capita (current US$),2020,688.032023504575
Lower middle income,GDP per capita (current US$),2016,2139.53953275038
Lower middle income,GDP per capita (current US$),2017,2268.42416744568
Lower middle income,GDP per capita (current US$),2018,2267.5468483045
Lower middle income,GDP per capita (current US$),2019,2354.57872458511
Lower middle income,GDP per capita (current US$),2020,2217.21488405319
Middle East & North Africa,GDP per capita (current US$),2016,7138.6920356864
Middle East & North Africa,GDP per capita (current US$),2017,7285.86804562163
Middle East & North Africa,GDP per capita (current US$),2018,7476.07933790311
Middle East & North Africa,GDP per capita (current US$),2019,7432.34045992297
Middle East & North Africa,GDP per capita (current US$),2020,6514.34335751546
Middle East & North Africa (excluding high income),GDP per capita (current US$),2016,3791.30262243591
Middle East & North Africa (excluding high income),GDP per capita (current US$),2017,3676.93134292149
Middle East & North Africa (excluding high income),GDP per capita (current US$),2018,3447.44418508612
Middle East & North Africa (excluding high income),GDP per capita (current US$),2019,3449.76562631738
Middle East & North Africa (excluding high income),GDP per capita (current US$),2020,3018.43365465048
Middle East & North Africa (IDA & IBRD countries),GDP per capita (current US$),2016,3794.44956816618
Middle East & North Africa (IDA & IBRD countries),GDP per capita (current US$),2017,3677.60855157959
Middle East & North Africa (IDA & IBRD countries),GDP per capita (current US$),2018,3446.05690469067
Middle East & North Africa (IDA & IBRD countries),GDP per capita (current US$),2019,3447.243891381
Middle East & North Africa (IDA & IBRD countries),GDP per capita (current US$),2020,3015.70355079971
Middle income,GDP per capita (current US$),2016,4733.85135327723
Middle income,GDP per capita (current US$),2017,5143.32247419721
Middle income,GDP per capita (current US$),2018,5401.50349437534
Middle income,GDP per capita (current US$),2019,5481.3737581515
Middle income,GDP per capita (current US$),2020,5216.9478914951
North America,GDP per capita (current US$),2016,56451.5175005901
North America,GDP per capita (current US$),2017,58605.3442919246
North America,GDP per capita (current US$),2018,61381.7198451523
North America,GDP per capita (current US$),2019,63341.7836383808
North America,GDP per capita (current US$),2020,61337.0311043715
Not classified,GDP per capita (current US$),2016,
Not classified,GDP per capita (current US$),2017,
Not classified,GDP per capita (current US$),2018,
Not classified,GDP per capita (current US$),2019,
Not classified,GDP per capita (current US$),2020,
OECD members,GDP per capita (current US$),2016,36072.0844579064
OECD members,GDP per capita (current US$),2017,37407.2643344895
OECD members,GDP per capita (current US$),2018,39370.2764130819
OECD members,GDP per capita (current US$),2019,39552.9579888986
OECD members,GDP per capita (current US$),2020,38178.1782826927
Other small states,GDP per capita (current US$),2016,12384.397390261
Other small states,GDP per capita (current US$),2017,13201.5186944606
Other small states,GDP per capita (current US$),2018,14354.4467109094
Other small states,GDP per capita (current US$),2019,13799.5866939806
Other small states,GDP per capita (current US$),2020,11766.9737392939
Pacific island small states,GDP per capita (current US$),2016,3963.69237254896
Pacific island small states,GDP per capita (current US$),2017,4220.25656123686
Pacific island small states,GDP per capita (current US$),2018,4340.02074365313
Pacific island small states,GDP per capita (current US$),2019,4270.4110635243
Pacific island small states,GDP per capita (current US$),2020,3768.54335734646
Post-demographic dividend,GDP per capita (current US$),2016,41442.7623830607
Post-demographic dividend,GDP per capita (current US$),2017,43033.4407976666
Post-demographic dividend,GDP per capita (current US$),2018,45489.6699087732
Post-demographic dividend,GDP per capita (current US$),2019,45819.8433912294
Post-demographic dividend,GDP per capita (current US$),2020,44425.1616910883
Pre-demographic dividend,GDP per capita (current US$),2016,1384.25448803551
