DATE,beef,pork
1985-11-01,79.7738,48.2857
1985-12-01,82.0429,49.3717
1986-01-01,84.9135,50.0251
1986-02-01,83.6739,50.8334
1986-03-01,85.2553,50.2157
1986-04-01,90.1533,50.9372
1986-05-01,87.84,50.6022
1986-06-01,87.2482,48.8936
1986-07-01,87.3439,48.7971
1986-08-01,85.9814,47.9386
1986-09-01,84.063,47.7857
1986-10-01,84.3231,48.2796
1986-11-01,85.2471,46.4468
1986-12-01,86.3248,48.78
1987-01-01,87.9366,51.9173
1987-02-01,85.4433,50.8227
1987-03-01,87.1951,51.4402
1987-04-01,87.6296,49.6272
1987-05-01,83.9452,49.3891
1987-06-01,84.1469,50.6636
1987-07-01,85.306,52.3176
1987-08-01,87.0523,52.228
1987-09-01,88.011,53.9036
1987-10-01,88.1908,54.791
1987-11-01,88.1597,55.9332
1987-12-01,88.2556,57.7303
1988-01-01,88.5694,56.3571
1988-02-01,88.7831,55.718
1988-03-01,87.4613,56.9339
1988-04-01,88.232,56.6189
1988-05-01,87.5621,57.5444
1988-06-01,88.4191,59.0442
1988-07-01,90.4302,59.0827
1988-08-01,89.0535,58.855
1988-09-01,88.6886,59.6878
1988-10-01,87.9771,60.758
1988-11-01,86.4344,59.5635
1988-12-01,87.3758,59.6095
1989-01-01,84.1607,57.1114
1989-02-01,87.2977,58.4387
1989-03-01,86.2598,57.9159
1989-04-01,85.118,59.7253
1989-05-01,86.0281,59.5763
1989-06-01,86.1481,59.76
1989-07-01,84.5657,56.7862
1989-08-01,84.8519,59.8741
1989-09-01,83.8638,59.3964
1989-10-01,86.7241,58.0781
1989-11-01,87.3448,58.8678
1989-12-01,89.1068,55.9941
1990-01-01,82.9964,57.1325
1990-02-01,85.917,58.3219
1990-03-01,86.5151,56.6073
1990-04-01,85.9657,57.2779
1990-05-01,87.3968,56.9722
1990-06-01,86.7919,55.7912
1990-07-01,86.4709,55.8812
1990-08-01,84.3294,58.7632
1990-09-01,83.4172,56.5263
1990-10-01,83.4879,54.7617
1990-11-01,84.0828,55.9002
1990-12-01,81.3856,57.7622
1991-01-01,83.7912,57.4847
1991-02-01,83.7378,57.683
1991-03-01,82.6626,57.7449
1991-04-01,84.3696,56.9553
1991-05-01,81.9865,56.9551
1991-06-01,82.5223,56.2434
1991-07-01,82.545,56.7871
1991-08-01,84.1151,57.3846
1991-09-01,84.9744,57.8056
1991-10-01,84.8734,59.3302
1991-11-01,83.5309,60.1981
1991-12-01,83.9745,60.5705
1992-01-01,87.1776,63.1156
1992-02-01,83.3345,63.1057
1992-03-01,86.7377,63.5038
1992-04-01,84.1814,62.351
1992-05-01,87.7675,62.5752
1992-06-01,86.9829,63.7745
1992-07-01,87.1815,67.5204
1992-08-01,87.7625,66.4277
1992-09-01,88.0691,67.3733
1992-10-01,87.5419,66.3555
1992-11-01,89.1429,65.2106
1992-12-01,88.7588,64.8717
1993-01-01,87.9196,66.9848
1993-02-01,88.3064,66.0706
1993-03-01,87.7864,64.5228
1993-04-01,87.5216,67.6143
1993-05-01,88.9547,66.0018
1993-06-01,89.7735,67.3609
1993-07-01,89.5789,66.7968
1993-08-01,90.7373,66.1238
1993-09-01,89.3809,64.3765
1993-10-01,89.199,63.3314
1993-11-01,88.7907,63.584
1993-12-01,89.979,64.0281
1994-01-01,89.7997,61.8537
1994-02-01,89.7519,62.069
1994-03-01,88.7233,62.894
1994-04-01,88.773,63.374
1994-05-01,86.4502,64.4275
1994-06-01,87.5128,63.9478
1994-07-01,89.0832,64.0804
1994-08-01,87.6467,64.197
1994-09-01,89.025,65.4513
1994-10-01,91.4445,67.1298
1994-11-01,89.7806,66.8226
1994-12-01,92.9466,67.4352
1995-01-01,89.8555,65.3546
1995-02-01,89.7956,65.4256
1995-03-01,92.1128,67.6209
1995-04-01,91.4635,65.9017
1995-05-01,93.3006,69.1037
1995-06-01,95.4556,67.7847
1995-07-01,94.7444,65.8179
1995-08-01,94.3032,66.4447
1995-09-01,97.1102,63.9379
1995-10-01,94.2421,64.3629
1995-11-01,96.049,66.1122
1995-12-01,95.9038,64.3202
1996-01-01,93.832,64.047
1996-02-01,94.6936,63.7443
1996-03-01,93.1655,60.6933
1996-04-01,95.3538,63.1099
1996-05-01,93.8045,61.59
1996-06-01,93.1486,57.5528
1996-07-01,89.3034,60.8463
1996-08-01,89.7909,60.394
1996-09-01,83.2422,61.9232
1996-10-01,87.5786,60.7083
