measure,category,value
Eat less meat,sustainability,23
Follow a plant-based diet,sustainability,8
Follow a vegan diet,sustainability,4
Follow a vegetarian diet,sustainability,4
Eat less meat,health,25
Follow a plant-based diet,health,8
Follow a vegan diet,health,4
Follow a vegetarian diet,health,5
